ID,Northing,Easting,Elevation,Code
1544,2781902.087,486278.59,100.421,BR
1545,2781908.941,486280.189,100.407,BR
1546,2781893.406,486262.714,100.289,BR
1547,2781892.686,486264.872,98.814,BR
1553,2781924.304,486192.398,91.488,BR
1554,2781910.67,486187.784,90.714,BR
1555,2781913.426,486186.128,90.813,BR
1556,2781916.525,486187.277,90.826,BR
1557,2781918.593,486186.525,90.781,BR
1558,2781919.457,486185.509,90.782,BR
1559,2781912.697,486185.047,90.787,BR
1560,2781912.481,486182.846,90.79,BR
1561,2781914.183,486180.408,90.746,BR
1562,2781916.88,486179.991,90.739,BR
1563,2781918.202,486180.588,90.75,BR
1587,2781943.067,486196.02,91.273,BR
1588,2781936.199,486205.658,91.605,BR
1589,2781939.374,486206.736,91.405,BR
1590,2781944.483,486208.811,91.132,BR
1591,2781953.772,486212.233,90.859,BR
1592,2781956.704,486216.246,89.994,BR
1593,2781956.777,486216.247,90.006,BR
1594,2781964.98,486219.383,89.987,BR
1595,2781965.468,486216.495,89.994,BR
1596,2781958.064,486213.784,89.997,BR
1614,2781947.367,486242.721,89.985,BR
1615,2781951.999,486230.09,89.983,BR
1626,2781929.615,486206.317,92.353,BR
1627,2781925.957,486204.967,92.34,BR
1628,2781916.717,486201.383,92.665,BR
1629,2781920.129,486200.038,92.435,BR
1630,2781894.375,486190.663,93.368,BR
1644,2781919.474,486234.076,92.46,BR
1645,2781926.988,486213.467,92.314,BR
1726,2781941.448,486287.618,98.373,BR
1727,2781941.05,486283.324,98.396,BR
1728,2781939.376,486279.524,98.38,BR
1729,2781929.517,486269.114,98.47,BR
1730,2781921.721,486265.681,98.126,BR
1731,2781919.533,486266.157,98.132,BR
1732,2781916.402,486269.294,98.227,BR
1797,2781913.44,486287.627,99.137,BR
1798,2781897.625,486283.968,99.157,BR
1827,2781883.979,486223.909,95.9,BR
1828,2781904.831,486230.792,93.961,BR
1829,2781918.507,486235.237,92.886,BR
1830,2781917.587,486234.694,92.908,BR
1831,2781924.507,486237.376,92.292,BR
1832,2781943.861,486243.948,90.606,BR
1834,2781944.23,486243.42,90.592,BR
1835,2781946.762,486245.032,90.355,BR
1836,2781946.992,486243.811,90.358,BR
1837,2781960.95,486249.906,89.178,BR
1838,2781959.766,486255.221,89.07,BR
1839,2781930.536,486245.456,91.541,BR
1840,2781910.118,486238.582,93.484,BR
1841,2781905.224,486239.813,93.936,BR
1842,2781898.781,486239.907,94.468,BR
1843,2781898.918,486237.664,94.481,BR
1844,2781898.412,486235.743,94.5,BR
1845,2781897.528,486234.458,94.502,BR
1846,2781896.096,486233.393,94.543,BR
1847,2781891.729,486231.865,94.894,BR
1374,2781868.472,486258.677,99.547,TEMPLE
1609,2781935.286,486208.439,91.562,BS
1611,2781954.223,486215.145,89.991,BS
1719,2781920.263,486292.145,98.904,BU
