ID,Northing,Easting,Elevation,Code
1552,2781950.337,486210.48,90.97,BU
1636,2781928.601,486181.896,93.035,BU
1637,2781950.41,486208.92,91.699,BU
1638,2781948.571,486209.369,91.512,BU
1639,2781956.171,486212.934,92.219,BU
1718,2781911.911,486301.369,98.369,BU
1719,2781920.263,486292.145,98.904,BU
1720,2781927.842,486287.08,99.088,BU
1721,2781928.986,486291.734,98.603,BU
1722,2781931.533,486290.546,98.684,BU
1723,2781934.715,486296.938,98.698,BU
1724,2781948.522,486296.26,98.284,BU
1752,2781909.816,486276.65,98.605,BU
1753,2781915.319,486273.794,98.489,BU
1754,2781912.725,486268.584,98.525,BU
1755,2781915.926,486266.776,99.291,BU
1756,2781910.437,486255.962,99.519,BU
1757,2781940.906,486296.822,99.041,BU
1758,2781938.328,486295.703,98.958,BU
1759,2781936.408,486300.291,99.065,BU
