124,2781726.203,486373.928,100.287,contourcp1
125,2781727.110,486374.183,100.282,contourcp1
126,2781727.844,486374.387,100.275,contourcp1
127,2781728.563,486374.598,100.265,contourcp1
128,2781729.293,486374.739,100.258,contourcp1
129,2781729.722,486374.821,100.253,contourcp1
130,2781730.179,486374.921,100.246,contourcp1
131,2781730.073,486376.425,100.261,contourcp1
132,2781730.019,486378.825,100.288,contourcp1
133,2781729.667,486378.688,100.295,contourcp1
134,2781729.248,486378.553,100.301,contourcp1
135,2781728.189,486379.071,100.324,contourcp1
136,2781727.515,486379.617,100.340,contourcp1
137,2781727.364,486378.052,100.322,contourcp1
138,2781727.056,486380.710,100.361,contourcp1
139,2781726.303,486379.841,100.353,contourcp1
140,2781725.538,486379.257,100.336,contourcp1
141,2781725.617,486377.919,100.321,contourcp1
142,2781724.958,486377.634,100.325,contourcp1
143,2781725.739,486378.034,100.323,contourcp1
144,2781726.993,486374.875,100.279,contourcp1
145,2781727.322,486363.835,100.111,contourcp1
146,2781727.881,486362.623,100.040,contourcp1
147,2781728.123,486362.521,100.034,contourcp1
148,2781728.394,486361.723,100.004,contourcp1
149,2781728.783,486360.893,99.966,contourcp1
150,2781729.171,486360.046,99.925,contourcp1
151,2781729.528,486359.344,99.895,contourcp1
152,2781730.117,486360.037,99.890,contourcp1
153,2781730.676,486361.208,99.816,contourcp1
154,2781730.269,486362.339,99.955,contourcp1
155,2781730.082,486363.718,100.056,contourcp1
156,2781730.082,486363.718,100.056,contourcp1
157,2781728.678,486364.575,100.169,contourcp1
158,2781727.190,486366.670,100.126,contourcp1
159,2781726.036,486370.776,100.254,contourcp1
160,2781724.548,486373.972,100.292,contourcp1
161,2781720.299,486373.041,100.255,contourcp1
162,2781719.845,486371.904,100.216,contourcp1
163,2781719.608,486370.618,100.164,contourcp1
164,2781717.721,486371.938,100.110,contourcp1
165,2781715.883,486373.571,100.077,contourcp1
166,2781713.119,486377.508,100.096,contourcp1
167,2781714.789,486376.825,100.112,contourcp1
168,2781716.124,486376.574,100.147,contourcp1
169,2781717.069,486375.978,100.182,contourcp1
170,2781718.180,486375.747,100.224,contourcp1
171,2781717.874,486377.900,100.229,contourcp1
172,2781717.910,486377.839,100.214,contourcp1
173,2781718.901,486378.972,100.284,contourcp1
174,2781723.295,486374.794,100.297,contourcp1
175,2781724.237,486377.461,100.323,contourcp1
176,2781719.337,486378.343,100.256,contourcp1
177,2781720.480,486373.757,100.275,contourcp1
178,2781716.499,486377.136,100.173,contourcp1
179,2781712.567,486378.276,100.106,contourcp1
180,2781711.633,486377.482,100.086,contourcp1
181,2781713.425,486375.381,100.061,contourcp1
182,2781711.613,486375.666,100.052,contourcp1
183,2781711.047,486375.165,100.026,contourcp1
184,2781715.585,486373.312,100.058,contourcp1
185,2781714.148,486374.014,100.044,contourcp1
186,2781718.560,486377.687,100.224,contourcp1
187,2781722.834,486374.785,100.296,contourcp1
188,2781725.137,486374.120,100.291,contourcp1
189,2781722.323,486386.807,100.886,contourcp1
190,2781727.960,486352.298,99.678,contourcp1
191,2781728.784,486352.086,99.675,contourcp1
192,2781729.426,486352.043,99.684,contourcp1
193,2781727.850,486352.364,99.686,contourcp1
194,2781727.692,486352.070,99.680,contourcp1
195,2781728.116,486351.203,99.649,contourcp1
196,2781728.911,486349.495,99.576,contourcp1
197,2781729.858,486350.977,99.665,contourcp1
198,2781730.425,486349.584,99.621,contourcp1
199,2781729.938,486353.346,99.732,contourcp1
200,2781730.944,486349.664,99.633,contourcp1
201,2781731.954,486347.270,99.547,contourcp1
202,2781731.954,486347.272,99.547,contourcp1
203,2781732.853,486346.164,99.511,contourcp1
204,2781732.210,486347.151,99.540,contourcp1
205,2781732.886,486345.002,99.484,contourcp1
206,2781733.615,486342.063,99.418,contourcp1
207,2781734.690,486338.245,99.385,contourcp1
208,2781735.947,486333.777,99.333,contourcp1
209,2781737.403,486328.872,99.271,contourcp1
210,2781738.778,486325.963,99.215,contourcp1
211,2781731.828,486352.023,99.627,CP.UG1
CPUG1.3,2781780.080,486247.607,99.515,CPUG1.3
IP1,2781739.339,486330.965,99.273,Resect
212,2781728.119,486326.268,99.385,RASHALA
213,2781727.994,486326.592,97.890,RASHALA
214,2781728.318,486325.830,99.369,RASHALA
215,2781728.368,486325.898,99.369,RASHALA
216,2781726.781,486328.577,99.387,RASHALA
217,2781724.110,486329.602,99.429,RASHALA
218,2781725.292,486333.467,99.401,RASHALA
219,2781713.440,486337.064,99.425,RASHALA
220,2781727.553,486323.191,99.398,RASHALA
